id,name,acronym,red,green,blue,structure_order,parent_id,parent_acronym,collapse
2312,"Primary somatosensory cortex, shoulder region 4",S1Sh-4,112,255,121,6233,2041,S1Sh,
2313,"Primary somatosensory cortex, shoulder region 5",S1Sh-5,112,255,121,6234,2041,S1Sh,
2314,"Primary somatosensory cortex, shoulder region 6a",S1Sh-6a,112,255,121,6235,2041,S1Sh,
2315,"Primary somatosensory cortex, shoulder region 6b",S1Sh-6b,112,255,121,6236,2041,S1Sh,
369,"Primary somatosensory cortex, forelimb region",S1FL,112,255,121,6300,322,S1,
450,"Primary somatosensory cortex, forelimb region, layer 1",S1FL-1,0,174,103,6400,369,S1FL,
854,"Primary somatosensory cortex, forelimb region, layer 2/3",S1FL-2/3,46,183,120,6500,369,S1FL,
577,"Primary somatosensory cortex, forelimb region, layer 4",S1FL-4,79,188,133,6600,369,S1FL,
625,"Primary somatosensory cortex, forelimb region, layer 5",S1FL-5,103,194,147,6700,369,S1FL,
945,"Primary somatosensory cortex, forelimb region, layer 6a",S1FL-6a,114,198,154,6800,369,S1FL,
1026,"Primary somatosensory cortex, forelimb region, layer 6b",S1FL-6b,124,201,162,6900,369,S1FL,
361,"Primary somatosensory cortex, trunk region",S1Tr,112,255,121,7000,322,S1,
1006,"Primary somatosensory cortex, trunk region, layer 1",S1Tr-1,0,179,171,7100,361,S1Tr,
670,"Primary somatosensory cortex, trunk region, layer 2/3",S1Tr-2/3,0,185,179,7200,361,S1Tr,
1086,"Primary somatosensory cortex, trunk region, layer 4",S1Tr-4,63,192,187,7300,361,S1Tr,
1111,"Primary somatosensory cortex, trunk region, layer 5",S1Tr-5,91,197,197,7400,361,S1Tr,
9,"Primary somatosensory cortex, trunk region, layer 6a",S1Tr-6a,115,203,207,7500,361,S1Tr,
461,"Primary somatosensory cortex, trunk region, layer 6b",S1Tr-6b,156,216,218,7600,361,S1Tr,
378,Secondary somatosensory cortex,S2,112,255,121,7700,453,S,
873,"Secondary somatosensory cortex, layer 1",S2-1,0,176,129,7800,378,S2,
806,"Secondary somatosensory cortex, layer 2/3",S2-2/3,0,180,135,7900,378,S2,
1035,"Secondary somatosensory cortex, layer 4",S2-4,40,184,141,8000,378,S2,
1090,"Secondary somatosensory cortex, layer 5",S2-5,74,190,155,8100,378,S2,
862,"Secondary somatosensory cortex, layer 6a",S2-6a,98,196,170,8200,378,S2,
893,"Secondary somatosensory cortex, layer 6b",S2-6b,121,202,179,8300,378,S2,
44,"Cingulate cortex, area 24a (infralimbic)",A24a (IL),112,255,104,8400,315,Isocortex,
707,"Cingulate cortex, area 24a (infralimbic), layer 1",A24a (IL)-1,0,137,72,8500,44,A24a (IL),
747,"Cingulate cortex, area 24a (infralimbic), layer 2/3",A24a (IL)-2,13,142,83,8600,44,A24a (IL),
556,"Cingulate cortex, area 24a (infralimbic), layer 4",A24a (IL)-2/3,50,146,93,8700,44,A24a (IL),
827,"Cingulate cortex, area 24a (infralimbic), layer 5",A24a (IL)-5,77,160,111,8800,44,A24a (IL),
1054,"Cingulate cortex, area 24a (infralimbic), layer 6a",A24a (IL)-6a,97,166,122,8900,44,A24a (IL),
1081,"Cingulate cortex, area 24a (infralimbic), layer 6b",A24a (IL)-6b,116,172,135,9000,44,A24a (IL),
1057,Dysgranular insular cortex,DI,112,255,105,9100,315,Isocortex,
36,"Dysgranular insular cortex, layer 1",DI-1,51,181,90,9200,1057,DI,
180,"Dysgranular insular cortex, layer 2/3",DI-2/3,82,187,112,9300,1057,DI,
148,"Dysgranular insular cortex, layer 4",DI-4,106,193,125,9400,1057,DI,
187,"Dysgranular insular cortex, layer 5",DI-5,127,200,138,9500,1057,DI,
638,"Dysgranular insular cortex, layer 6a",DI-6a,152,208,152,9600,1057,DI,
662,"Dysgranular insular cortex, layer 6b",DI-6b,175,218,179,9700,1057,DI,
677,Granular insular cortex,GI,112,255,100,9800,315,Isocortex,
897,"Granular insular cortex, layer 1",GI-1,0,155,91,9900,677,GI,
1106,"Granular insular cortex, layer 2/3",GI-2/3,42,163,106,10000,677,GI,
1010,"Granular insular cortex, layer 4",GI-4,70,168,118,10100,677,GI,
1058,"Granular insular cortex, layer 5",GI-5,97,183,138,10200,677,GI,
857,"Granular insular cortex, layer 6a",GI-6a,108,186,144,10300,677,GI,
849,"Granular insular cortex, layer 6b",GI-6b,117,189,152,10400,677,GI,
247,Auditory cortex,Au,120,255,120,10500,315,Isocortex,
1011,"Secondary auditory cortex, dorsal area",AuD,120,255,120,10600,247,Au,
527,"Secondary auditory cortex, dorsal area, layer 1",AuD-1,0,157,125,10700,1011,AuD,
600,"Secondary auditory cortex, dorsal area, layer 2/3",AuD-2/3,0,163,137,10800,1011,AuD,
678,"Secondary auditory cortex, dorsal area, layer 4",AuD-4,63,170,151,10900,1011,AuD,
252,"Secondary auditory cortex, dorsal area, layer 5",AuD-5,91,185,168,11000,1011,AuD,
156,"Secondary auditory cortex, dorsal area, layer 6a",AuD-6a,113,190,176,11100,1011,AuD,
243,"Secondary auditory cortex, dorsal area, layer 6b",AuD-16b,137,198,186,11200,1011,AuD,
1002,Primary auditory cortex,Au1,120,255,120,11300,247,Au,
735,"Primary auditory cortex, layer 1",Au1-1,0,157,114,11400,1002,Au1,
251,"Primary auditory cortex, layer 2/3",Au1-2/3,0,160,119,11500,1002,Au1,
816,"Primary auditory cortex, layer 4",Au1-4,37,164,125,11600,1002,Au1,
847,"Primary auditory cortex, layer 5",Au1-5,71,178,145,11700,1002,Au1,
954,"Primary auditory cortex, layer 6a",Au1-6a,93,184,160,11800,1002,Au1,
1005,"Primary auditory cortex, layer 6b",Au1-6b,115,190,168,11900,1002,Au1,
1018,"Secondary auditory cortex, ventral area",AuV,120,255,120,12700,247,Au,
959,"Secondary auditory cortex, ventral area, layer 1",AuV-1,0,156,102,12800,1018,AuV,
755,"Secondary auditory cortex, ventral area, layer 2/3",AuV-2/3,41,163,113,12900,1018,AuV,
990,"Secondary auditory cortex, ventral area, layer 4",AuV-4,70,168,124,13000,1018,AuV,
1023,"Secondary auditory cortex, ventral area, layer 5",AuV-5,96,183,144,13100,1018,AuV,
520,"Secondary auditory cortex, ventral area, layer 6a",AuV-6a,116,190,160,13200,1018,AuV,
598,"Secondary auditory cortex, ventral area, layer 6b",AuV-6b,127,193,168,13300,1018,AuV,
669,Visual cortex,V,112,255,98,13400,315,Isocortex,
2170,"Secondary visual cortex, lateral area",V2L,108,173,178,14010,669,V,
402,"Secondary visual cortex, lateral area, anterior region",V2La,112,255,98,14100,2170,V2L,
1074,"Secondary visual cortex, lateral area, anterior region, layer1",V2La-1,0,160,181,14200,402,V2La,
905,"Secondary visual cortex, lateral area, anterior region, layer2/3",V2La-2/3,0,161,189,14300,402,V2La,
1114,"Secondary visual cortex, lateral area, anterior region, layer4",V2La-4,0,161,197,14400,402,V2La,
233,"Secondary visual cortex, lateral area, anterior region, layer5",V2La-5,16,179,202,14500,402,V2La,
601,"Secondary visual cortex, lateral area, anterior region, layer6a",V2La-6a,105,193,212,14600,402,V2La,
649,"Secondary visual cortex, lateral area, anterior region, layer6b",V2La-6b,103,193,221,14700,402,V2La,
409,"Secondary visual cortex, lateral area, intermediate region",V2Li,112,255,98,14800,2170,V2L,
421,"Secondary visual cortex, lateral area, intermediate region, layer1",V2Li-1,0,159,158,14900,409,V2Li,
973,"Secondary visual cortex, lateral area, intermediate region, layer2/3",V2Li-2/3,0,159,165,15000,409,V2Li,
573,"Secondary visual cortex, lateral area, intermediate region, layer4",V2Li-4,0,161,173,15100,409,V2Li,
613,"Secondary visual cortex, lateral area, intermediate region, layer5",V2Li-5,0,176,184,15200,409,V2Li,
74,"Secondary visual cortex, lateral area, intermediate region, layer6a",V2Li-6a,69,183,193,15300,409,V2Li,
121,"Secondary visual cortex, lateral area, intermediate region, layer6b",V2Li-6b,107,192,203,15400,409,V2Li,
425,"Secondary visual cortex, lateral area, posterior region",V2Lp,112,255,98,15500,2170,V2L,
750,"Secondary visual cortex, lateral area, posterior region, layer1",V2Lp-1,0,180,205,15600,425,V2Lp,
269,"Secondary visual cortex, lateral area, posterior region, layer2/3",V2Lp-2/3,0,181,214,15700,425,V2Lp,
869,"Secondary visual cortex, lateral area, posterior region, layer4",V2Lp-4,0,181,223,15800,425,V2Lp,
902,"Secondary visual cortex, lateral area, posterior region, layer15",V2Lp-5,2,190,215,15900,425,V2Lp,
377,"Secondary visual cortex, lateral area, posterior region, layer6a",V2Lp-6a,110,205,226,16000,425,V2Lp,
393,"Secondary visual cortex, lateral area, posterior region, layer6b",V2Lp-6b,107,205,236,16100,425,V2Lp,
2096,"Secondary Visual Cortex, Medial area",V2M,107,205,236,16110,669,V,
2097,"Secondary visual cortex, mediolateral area",V2ML,107,205,236,16120,2096,V2M,
2393,"Secondary visual cortex, mediolateral area, layer1",V2ML-1,107,205,236,16130,2097,V2ML,
2409,"Secondary visual cortex, mediolateral area, layer2/3",V2ML-2/3,107,205,236,16140,2097,V2ML,
2410,"Secondary visual cortex, mediolateral area, layer4",V2ML-4,107,205,236,16150,2097,V2ML,
2411,"Secondary visual cortex, mediolateral area, layer5",V2ML-5,107,205,236,16160,2097,V2ML,
2412,"Secondary visual cortex, mediolateral area, layer6a",V2ML-6a,107,205,236,16170,2097,V2ML,
2413,"Secondary visual cortex, mediolateral area, layer6b",V2ML-6b,107,205,236,16180,2097,V2ML,
394,"Secondary visual cortex, mediomedial area, anterior region",V2MMa,112,255,98,16200,2096,V2M,
281,"Secondary visual cortex, mediomedial area, anterior region, layer1",V2MMa-1,0,141,139,16300,394,V2MMa,
1066,"Secondary visual cortex, mediomedial area, anterior region, layer2/3",V2MMa-2/3,0,142,145,16400,394,V2MMa,
401,"Secondary visual cortex, mediomedial area, anterior region, layer4",V2MMa-4,0,143,152,16500,394,V2MMa,
433,"Secondary visual cortex, mediomedial area, anterior region, layer5",V2MMa-5,0,158,163,16600,394,V2MMa,
1046,"Secondary visual cortex, mediomedial area, anterior region, layer6a",V2MMa-6a,64,164,172,16700,394,V2MMa,
441,"Secondary visual cortex, mediomedial area, anterior region, layer6b",V2MMa-6b,98,172,181,16800,394,V2MMa,
533,"Secondary visual cortex, mediomedial area, posterior region",V2MMp,112,255,98,16900,2096,V2M,
805,"Secondary visual cortex, mediomedial area, posterior region, layer1",V2MMp-1,0,174,184,17000,533,V2MMp,
41,"Secondary visual cortex, mediomedial area, posterior region, layer2/3",V2MMp-2/3,0,175,191,17100,533,V2MMp,
501,"Secondary visual cortex, mediomedial area, posterior region, layer4",V2MMp-4,0,179,200,17200,533,V2MMp,
565,"Secondary visual cortex, mediomedial area, posterior region, layer5",V2MMp-5,63,184,201,17300,533,V2MMp,
257,"Secondary visual cortex, mediomedial area, posterior region, layer6a",V2MMp-6a,93,188,201,17400,533,V2MMp,
469,"Secondary visual cortex, mediomedial area, posterior region, layer6b",V2MMp-6b,119,194,202,17500,533,V2MMp,
385,Primary visual cortex,V1,112,255,98,17600,669,V,
593,"Primary visual cortex, layer1",V1-1,0,147,153,17700,385,V1,
821,"Primary visual cortex, layer2/3",V1-2/3,0,148,159,17800,385,V1,
721,"Primary visual cortex, layer4",V1-4,17,151,167,17900,385,V1,
778,"Primary visual cortex, layer5",V1-5,60,163,177,18000,385,V1,
33,"Primary visual cortex, layer6a",V1-6a,85,168,178,18100,385,V1,
305,"Primary visual cortex, layer6b",V1-6b,107,173,178,18200,385,V1,
2098,"Primary visual cortex, monocular area",V1M,112,255,98,18210,385,V1,
2428,"Primary visual cortex, monocular area, layer1",V1M-1,112,255,98,18220,2098,V1M,
2429,"Primary visual cortex, monocular area, layer2/3",V1M-2/3,112,255,98,18230,2098,V1M,
2430,"Primary visual cortex, monocular area, layer4",V1M-4,112,255,98,18240,2098,V1M,
2431,"Primary visual cortex, monocular area, layer5",V1M-5,112,255,98,18250,2098,V1M,
2432,"Primary visual cortex, monocular area, layer6a",V1M-6a,112,255,98,18260,2098,V1M,
2433,"Primary visual cortex, monocular area, layer16b",V1M-6b,112,255,98,18270,2098,V1M,
2133,"Primary visual cortex, binocular area",V1B,112,255,98,18280,385,V1,
2434,"Primary visual cortex, binocular area, layer1",V1B-1,112,255,98,18290,2133,V1B,
2435,"Primary visual cortex, binocular area, layer2/3",V1B-2/3,112,255,98,18291,2133,V1B,
2436,"Primary visual cortex, binocular area, layer4",V1B-4,112,255,98,18292,2133,V1B,
2437,"Primary visual cortex, binocular area, layer5",V1B-5,112,255,98,18293,2133,V1B,
2438,"Primary visual cortex, binocular area, layer6a",V1B-6a,112,255,98,18294,2133,V1B,
2439,"Primary visual cortex, binocular area, layer6b",V1B-6b,112,255,98,18295,2133,V1B,
31,Cingulate cortex,A24 (Cg),112,255,113,18300,315,Isocortex,
2345,"Cingulate cortex, area 24b ",A24b (Cg1),169,203,142,18810,31,A24 (Cg),
2346,"Cingulate cortex, area 24b, layer1",A24b (Cg1)-1,169,203,142,18820,2345,A24b (Cg1),
2347,"Cingulate cortex, area 24b, layer2/3",A24b (Cg1)-2/3,169,203,142,18830,2345,A24b (Cg1),
2348,"Cingulate cortex, area 24b, layer5",A24b (Cg1)-5,169,203,142,18840,2345,A24b (Cg1),
2349,"Cingulate cortex, area 24b, layer6a",A24b (Cg1)-6a,169,203,142,18850,2345,A24b (Cg1),
2350,"Cingulate cortex, area 24b, layer6b",A24b (Cg1)-6b,169,203,142,18860,2345,A24b (Cg1),
39,"Cingulate cortex, area 24b'",A24b' (Cg1),113,255,113,18900,31,A24 (Cg),
935,"Cingulate cortex, area 24b', layer1",A24b' (Cg1)-1,96,170,75,19000,39,A24b' (Cg1),
211,"Cingulate cortex, area 24b', layer2/3",A24b' (Cg1)-2/3,116,175,88,19100,39,A24b' (Cg1),
1015,"Cingulate cortex, area 24b', layer5",A24b' (Cg1)-5,137,183,108,19200,39,A24b' (Cg1),
919,"Cingulate cortex, area 24b', layer6a",A24b' (Cg1)-6a,157,199,128,19300,39,A24b' (Cg1),
927,"Cingulate cortex, area 24b', layer6b",A24b' (Cg1)-6b,168,203,142,19400,39,A24b' (Cg1),
48,"Cingulate cortex, area 24a'",A24a' (Cg2),114,255,113,19500,31,A24 (Cg),
588,"Cingulate cortex, area 24a', layer1",A24a' (Cg2)-1,109,191,85,19600,48,A24a' (Cg2),
296,"Cingulate cortex, area 24a', layer2/3",A24a' (Cg2)-2/3,131,198,100,19700,48,A24a' (Cg2),
772,"Cingulate cortex, area 24a', layer5",A24a' (Cg2)-5,155,207,122,19800,48,A24a' (Cg2),
810,"Cingulate cortex, area 24a', layer6a",A24a' (Cg2)-6a,167,212,136,19900,48,A24a' (Cg2),
819,"Cingulate cortex, area 24a', layer6b",A24a' (Cg2)-6b,178,217,152,20000,48,A24a' (Cg2),
972,"Cingulate cortex, area 32 (Prelimbic cortex)",A32 (PrL),112,255,118,20100,315,Isocortex,
171,"Cingulate cortex, area 32 (Prelimbic cortex), layer1",A32 (PrL)-1,83,150,66,20200,972,A32 (PrL),
195,"Cingulate cortex, area 32 (Prelimbic cortex), layer2",A32 (PrL)-2,101,156,78,20300,972,A32 (PrL),
304,"Cingulate cortex, area 32 (Prelimbic cortex), layer2/3",A32 (PrL)-2/3,121,163,95,20400,972,A32 (PrL),
363,"Cingulate cortex, area 32 (Prelimbic cortex), layer5",A32 (PrL)-5,140,178,114,20500,972,A32 (PrL),
84,"Cingulate cortex, area 32 (Prelimbic cortex), layer6a",A32 (PrL)-6a,150,182,127,20600,972,A32 (PrL),
132,"Cingulate cortex, area 32 (Prelimbic cortex), layer6b",A32 (PrL)-6b,160,187,142,20700,972,A32 (PrL),
714,Orbital cortex,O,128,255,128,20800,315,Isocortex,
723,Lateral orbital cortex,LO,127,255,128,21400,714,O,
448,"Lateral orbital cortex, layer1",LO-1,37,143,69,21500,723,LO,
412,"Lateral orbital cortex, layer2/3",LO-2/3,63,148,87,21600,723,LO,
630,"Lateral orbital cortex, layer5",LO-5,82,152,98,21700,723,LO,
440,"Lateral orbital cortex, layer6a",LO-6a,107,168,116,21800,723,LO,
488,"Lateral orbital cortex, layer6b",LO-6b,128,175,128,21900,723,LO,
731,Medial orbital cortex,MO,126,255,128,22000,714,ORB,
484,"Medial orbital cortex, layer1",MO-1,102,155,63,22100,731,ORBm,
524,"Medial orbital cortex, layer2/3",MO-2/3,121,162,82,22200,731,ORBm,
582,"Medial orbital cortex, layer5",MO-5,131,166,95,22300,731,ORBm,
620,"Medial orbital cortex, layer6a",MO-6a,150,181,113,22400,731,ORBm,
910,"Medial orbital cortex, layer6b",MO-6b,161,186,127,22500,731,ORBm,
738,Ventral orbital cortex,VO,125,255,128,22600,714,O,
2320,"Orbital cortex, ventral part, layer 1",VO-1,125,255,128,22610,738,VO,
2321,"Orbital cortex, ventral part, layer 2/3",VO-2/3,125,255,128,22620,738,VO,
2322,"Orbital cortex, ventral part, layer 5",VO-5,125,255,128,22630,738,VO,
2323,"Orbital cortex, ventral part, layer 6a",VO-6a,125,255,128,22640,738,VO,
2324,"Orbital cortex, ventral part, layer 6b",VO-6b,125,255,128,22650,738,VO,
95,Agranular insular cortex,AI,112,255,114,23300,315,Isocortex,
2331,"Agranular insular cortex, layer 1",AI1,112,255,114,23310,95,AI,
2332,"Agranular insular cortex, layer 2/3",AI2/3,112,255,114,23320,95,AI,
2333,"Agranular insular cortex, layer 5",AI5,112,255,114,23330,95,AI,
104,"Agranular insular cortex, dorsal part",AID,113,255,114,23400,95,AI,
996,"Agranular insular cortex, dorsal part, layer1",AID-1,74,165,77,23500,104,AID,
328,"Agranular insular cortex, dorsal part, layer2/3",AID-2/3,95,171,97,23600,104,AID,
1101,"Agranular insular cortex, dorsal part, layer5",AID-5,114,177,110,23700,104,AID,
783,"Agranular insular cortex, dorsal part, layer6a",AID-6a,144,195,129,23800,104,AID,
831,"Agranular insular cortex, dorsal part, layer6b",AID-6b,156,200,143,23900,104,AID,
2020,Dorsolateral orbital cortex,DLO,156,200,143,23910,104,AID,
2326,"Dorsolateral orbital cortex, layer 1",DLO-1,156,200,143,23920,2020,DLO,
2327,"Dorsolateral orbital cortex, layer 2/3",DLO-2/3,156,200,143,23930,2020,DLO,
2328,Dorsolateral orbital cortex layer 5,DLO-5,156,200,143,23940,2020,DLO,
2329,Dorsolateral orbital cortex layer 6a,DLO-6a,156,200,143,23950,2020,DLO,
2330,Dorsolateral orbital cortex layer 6b,DLO-6b,156,200,143,23960,2020,DLO,
111,"Agranular insular cortex, posterior part",AIP,111,255,114,24000,95,AI,
120,"Agranular insular cortex, posterior part, layer1",AIP-1,0,154,82,24100,111,AIP,
163,"Agranular insular cortex, posterior part, layer2/3",AIP-2/3,20,160,94,24200,111,AIP,
344,"Agranular insular cortex, posterior part, layer5",AIP-5,59,165,106,24300,111,AIP,
314,"Agranular insular cortex, posterior part, layer6a",AIP-6a,87,180,124,24400,111,AIP,
355,"Agranular insular cortex, posterior part, layer6b",AIP-6b,108,186,137,24500,111,AIP,
119,"Agranular insular cortex, ventral part",AIV,110,255,114,24600,95,AI,
704,"Agranular insular cortex, ventral part, layer1",AIV-1,84,186,88,24700,119,AIV,
694,"Agranular insular cortex, ventral part, layer2/3",AIV-2/3,107,192,110,24800,119,AIV,
800,"Agranular insular cortex, ventral part, layer5",AIV-5,129,199,124,24900,119,AIV,
675,"Agranular insular cortex, ventral part, layer6a",AIV-6a,153,207,137,25000,119,AIV,
699,"Agranular insular cortex, ventral part, layer6b",AIV-6b,166,213,152,25100,119,AIV,
254,"Cingulate cortex, area 29 and 30 (retrosplenial cortex)",A29-30 (RS),112,255,120,25200,315,Isocortex,
879,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex)",A30 (RSD),112,255,120,25900,254,RS,
442,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer1",A30 (RSD)-1,0,139,89,26000,879,A30 (RSD),
434,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer2/3",A30 (RSD)-2/3,34,145,99,26100,879,A30 (RSD),
545,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer4",A30 (RSD)-4,35,145,99,26200,879,A30 (RSD),
610,"Cingulate cortex, area 30 (Retrosplenial dysgranular cortex), layer5",A30 (RSD)-5,60,149,109,26300,879,A30 (RSD),
